"year","month","day","weekday","temperature","rain","clouds","ultraviolet"
2018,7,24,2,22,0,75,8.697
2018,7,25,3,21,0,75,8.73
2018,7,26,4,22,0,75,8.559
2018,7,27,5,23,0,90,8.698
2018,7,28,6,22,0,75,8.581
2018,7,29,7,22,0,90,8.472
2018,7,30,1,23,1.5,90,8.633
2018,7,31,2,22,0,75,8.738
2018,8,1,3,25,0,0,8.941
2018,8,2,4,32,0,0,8.912
2018,8,3,5,35,0,0,9.089
2018,8,4,6,33,0,20,8.868
2018,8,5,7,31,0,40,8.657
2018,8,6,1,22,0,90,8.25
2018,8,7,2,24,0,90,7.806
2018,8,8,3,21,2.6,90,7.857
2018,8,9,4,21,0,90,7.651
2018,8,10,5,21,0,0,7.911
2018,8,11,6,23,0,20,8.017
2018,8,12,7,20,0.8,90,8.436
2018,8,13,1,21,0,75,8.563
2018,8,14,2,27,0,90,7.897
2018,8,15,3,24,0,90,7.757
2018,8,16,4,22,0,90,7.749
2018,8,17,5,25,0,0,7.687
2018,8,18,6,29,0,0,7.729
2018,8,19,7,32,0,0,7.457
2018,8,20,1,34,0,0,7.35
2018,8,21,2,29,0,0,7.416
2018,8,22,3,24,0,90,7.236
2018,8,23,4,20,0,90,7.256
2018,8,24,5,23,0,75,7.287
2018,8,25,6,22,0,20,7.133
2018,8,26,7,23,0,0,7.087
2018,8,27,1,27,1.2,40,6.881
2018,8,28,2,19,2.8,90,7.097
2018,8,29,3,20,0,75,6.963
2018,8,30,4,22,0,0,7.031
2018,8,31,5,27,0,0,6.893
2018,9,1,6,33,0,0,6.721
2018,9,2,7,29,0,0,6.644
2018,9,3,1,21,0.9,75,6.715
2018,9,4,2,23,8,75,6.568
2018,9,5,3,21,0.21,90,6.238
2018,9,6,4,22,0,90,6.267
2018,9,7,5,25,0.4,20,6.301
2018,9,8,6,23,10.3,75,6.386
2018,9,9,7,19,0,90,6.34
2018,9,10,1,26,0,90,6.483
2018,9,11,2,28,0,20,6.73
2018,9,12,3,22,0,20,6.777
2018,9,13,4,21,0,90,6.692
2018,9,14,5,20,0,90,6.484
2018,9,15,6,24,0,90,6.281
2018,9,16,7,20,0,90,6.137
2018,9,17,1,20,0,90,6.062
2018,9,18,2,21,0,90,5.949
2018,9,19,3,23,0,92,5.975
2018,9,20,4,22,0,90,6.133
2018,9,21,5,23,0,90,6.228
2018,9,22,6,22,0,20,6.263
2018,9,23,7,22,0,20,6.133
2018,9,24,1,29,0,0,5.929
2018,9,25,2,30,0,0,5.507
2018,9,26,3,30,0,0,5.513
2018,9,27,4,28,0.13,0,5.457
2018,9,28,5,21,0,90,5.4
2018,9,29,6,19,0,90,5.277
2018,9,30,7,18,0,90,4.903
2018,10,1,1,25,0,90,4.877
2018,10,2,2,29,0,0,4.953
2018,10,3,3,28,0,0,4.773
2018,10,4,4,25,0,0,4.533
2018,10,5,5,20,0,0,4.407
2018,10,6,6,20,0,24,4.34
2018,10,7,7,20,0,0,4.193
2018,10,8,1,23,0,0,3.997
2018,10,9,2,24,0,20,3.83
2018,10,10,3,20,0,90,3.8
2018,10,11,4,20,13,90,3.927
2018,10,12,5,23,0,75,4.013
2018,10,13,6,24,12,75,3.977
2018,10,14,7,16,9.4,75,3.983
2018,10,15,1,17,50.7,90,3.98
2018,10,16,2,19,0,90,3.657
2018,10,17,3,17,15,90,3.69
2018,10,18,4,22,0.3,75,3.503
2018,10,19,5,23,0,0,3.427
2018,10,20,6,26,0,20,3.35
2018,10,21,7,25,1.89,40,3.347
2018,10,22,1,24,0,0,3.423
2018,10,23,2,26,0,0,3.383
2018,10,24,3,23,0,0,3.207
2018,10,25,4,20,0,92,2.947
2018,10,26,5,17,0,75,2.58
2018,10,27,6,15,0,20,2.49
2018,10,28,7,14,0,20,2.343
2018,10,29,1,13,12,90,2.39
2018,10,30,2,12,10,75,2.393
2018,10,31,3,13,7.9,75,2.527
2018,11,1,4,15,8.6,75,2.7
2018,11,2,5,16,2.7,90,2.643
2018,11,3,6,14,0,75,2.39
2018,11,4,7,14,43.4,75,2.27
2018,11,5,1,15,13.6,75,2.247
2018,11,6,2,15,27,90,2.17
2018,11,7,3,16,2,90,2.129
2018,11,8,4,13,14.8,75,2.145
2018,11,9,5,15,34.7,90,2.174
2018,11,10,6,17,17.9,90,2.015
2018,11,11,7,16,24,90,2.007
2018,11,12,1,15,0,40,1.925
2018,11,13,2,17,0,0,1.992
2018,11,14,3,21,0,0,1.939
2018,11,15,4,22,0,40,1.894
2018,11,16,5,21,0.29,36,1.846
2018,11,17,6,20,0,20,1.755
2018,11,18,7,18,5.07,100,1.655
2018,11,19,1,15,0.19,92,1.58
2018,11,20,2,14,0,90,1.531
2018,11,21,3,13,0,75,1.502
2018,11,22,4,13,0,75,1.503
2018,11,23,5,14,7.9,75,1.544
2018,11,24,6,15,18.4,75,1.549
2018,11,25,7,14,9,75,1.592
2018,11,26,1,14,0,75,1.633
2018,11,27,2,15,0,75,1.628
2018,11,28,3,15,0,90,1.559
2018,11,29,4,14,13.2,90,1.508
2018,11,30,5,15,0,90,1.548
2018,12,1,6,15,0,75,1.634
2018,12,2,7,16,0,75,1.676
2018,12,3,1,15,22.5,90,1.621
2018,12,4,2,17,0,90,1.555
2018,12,5,3,18,1,75,1.486
2018,12,6,4,16,0,90,1.47
2018,12,7,5,14,9.6,90,1.493
2018,12,8,6,15,0,75,1.45
2018,12,9,7,16,0,75,1.427
2018,12,10,1,18,0,8,1.447
2018,12,11,2,16,0,75,1.35
2018,12,12,3,14,16.6,75,1.347
2018,12,13,4,14,43.7,75,1.19
2018,12,14,5,14,0.8,90,1.51
2018,12,15,6,14,17,90,1.47
2018,12,16,7,14,0.9,98,1.24
2018,12,17,1,13,0.25,100,1.29
2018,12,18,2,14,10.62,90,1.28
2018,12,19,3,14,13.99,75,1.21
2018,12,20,4,15,66.22,75,1.31
2018,12,21,5,13,23.94,90,1.39
2018,12,22,6,17,1.52,100,1.35
2018,12,23,7,16,0,100,1.36
2018,12,24,1,15,0,100,1.34
2018,12,25,2,15,0,100,1.28
2018,12,26,3,16,0,100,1.19
2018,12,27,4,12,12.04,75,1.2
2018,12,28,5,16,0,75,1.39
2018,12,29,6,17,0,1,1.37
2018,12,30,7,17,0,1,1.34
2018,12,31,1,17,0,1,1.4
2019,1,1,2,14,0,61,1.42
2019,1,2,3,13,0,61,1.43
2019,1,3,4,14,0,1,1.33
2019,1,4,5,14,0,61,1.29
2019,1,5,6,13,0,61,1.33
2019,1,6,7,15,0,61,1.38
2019,1,7,1,18,0,1,1.36
2019,1,8,2,16,0,13,1.33
2019,1,9,3,16,0,1,1.43
2019,1,10,4,14,0,0,1.56
2019,1,11,5,12,0,0,1.56
2019,1,12,6,13,0,7,1.52
2019,1,13,7,13,0,90,1.55
2019,1,14,1,13,0,91,1.68
2019,1,15,2,9,0,75,1.617
2019,1,16,3,11,4.55,90,1.63
2019,1,17,4,13,0.75,90,1.577
2019,1,18,5,8,3.98,90,1.598
2019,1,19,6,14,41.5,92,1.638
2019,1,20,7,14,0.2,40,1.627
2019,1,21,1,13,0,20,1.659
2019,1,22,2,12,6.76,75,1.619
2019,1,23,3,13,4.91,90,1.711
2019,1,24,4,15,1.01,90,1.815
2019,1,25,5,15,0,8,1.895
2019,1,26,6,15,0,75,2.001
2019,1,27,7,13,0.88,90,2.072
2019,1,28,1,13,4.5,90,2.106
2019,1,29,2,13,9.79,90,2.165
2019,1,30,3,13,38.03,90,2.064
2019,1,31,4,14,35.01,75,2.029
2019,2,1,5,12,10.36,75,2.134
2019,2,2,6,11,1.74,40,2.445
2019,2,3,7,12,0,64,2.557
2019,2,4,1,13,0,44,2.523
2019,2,5,2,13,0,56,2.239
2019,2,6,3,13,0,90,2.177
2019,2,7,4,13,3.01,90,2.369
2019,2,8,5,14,2.33,90,2.645
2019,2,9,6,14,1.15,90,2.847
2019,2,10,7,14,23.67,75,2.948
2019,2,11,1,13,1.77,0,3.026
2019,2,12,2,16,0,0,3.093
2019,2,13,3,17,0,0,3.044
2019,2,14,4,21,0,0,2.894
2019,2,15,5,17,0,44,2.652
2019,2,16,6,18,0,36,2.489
2019,2,17,7,16,0.25,75,2.623
2019,2,18,1,13,8.65,90,2.679
2019,2,19,2,12,0.25,20,2.991
2019,2,20,3,15,0,0,3.231
2019,2,21,4,18,0,40,3.466
2019,2,22,5,22,0,20,3.606
2019,2,23,6,21,0,0,3.794
2019,2,24,7,21,0,0,3.983
2019,2,25,1,21,0,0,3.681
2019,2,26,2,22,0,0,3.558
2019,2,27,3,16,0.2,75,3.59
2019,2,28,4,15,0,88,3.948
2019,3,1,5,15,0.5,90,4.089
2019,3,2,6,17,0.25,75,4.053
2019,3,3,7,16,1.77,75,4.002
2019,3,4,1,14,3.89,75,3.575
2019,3,5,2,14,30.94,75,3.279
2019,3,6,3,14,19.35,90,3.684
2019,3,7,4,13,15.57,90,3.18
2019,3,8,5,15,1.5,87,4.9
2019,3,9,6,17,1,75,5.35
2019,3,10,7,17,0.5,90,5.18
2019,3,11,1,17,0.5,75,5.45
2019,3,12,2,15,3.31,96,5.46
2019,3,13,3,14,0.25,94,3.88
2019,3,14,4,16,0.25,44,4.51
2019,3,15,5,18,0,60,5.18
2019,3,16,6,17,0,92,5.06
2019,3,17,7,14,6,90,4.23
2019,3,18,1,16,0,96,5.57
2019,3,19,2,18,0,21,5.44
2019,3,20,3,18,0,1,5.56
2019,3,21,4,19,0,89,5.3
2019,3,22,5,20,0,22,4.81
2019,3,23,6,22,0,34,4.76
2019,3,24,7,23,0,10,4.54
2019,3,25,1,24,0,20,4.47
2019,3,26,2,23,0,20,4.64
2019,3,27,3,22,0,0,5.06
2019,3,28,4,15,0,75,5.19
2019,3,29,5,20,0,90,5.033
2019,3,30,6,21,0,40,4.834
2019,3,31,7,20,0,20,4.699
2019,4,1,1,17,3.3,40,4.686
2019,4,2,2,17,0,75,5.153
2019,4,3,3,10,0,0,5.139
2019,4,4,4,11,20.06,90,5.76
2019,4,5,5,11,10.17,75,4.35
2019,4,6,6,13,3.21,75,4.49
2019,4,7,7,14,13.09,90,6.04
2019,4,8,1,15,4.4,90,5.66
2019,4,9,2,15,15.32,75,5.11
2019,4,10,3,15,1.73,40,5.813
2019,4,11,4,16,0,40,6.292
2019,4,12,5,17,0,20,6.728
2019,4,13,6,16,7.18,75,6.545
2019,4,14,7,18,17.76,90,6.277
2019,4,15,1,15,9.13,75,5.661
2019,4,16,2,20,0.51,75,5.6
2019,4,17,3,14,10.03,90,5.318
2019,4,18,4,16,3.97,75,5.498
2019,4,19,5,20,1.24,75,5.873
2019,4,20,6,24,0,20,6.422
2019,4,21,7,22,0,40,6.169
2019,4,22,1,17,10,75,6.062
2019,4,23,2,13,12.33,75,5.654
2019,4,24,3,14,18.9,75,6.16
2019,4,25,4,14,6.41,75,6.667
2019,4,26,5,15,0.48,75,7.464
2019,4,27,6,19,0.5,20,7.651
2019,4,28,7,23,1.01,21,7.473
2019,4,29,1,21,3.5,90,7.149
2019,4,30,2,21,3.5,75,6.997
2019,5,1,3,13,4.81,75,6.978
2019,5,2,4,24,1.77,29,6.83
2019,5,3,5,23,0.75,0,6.96
2019,5,4,6,23,0.25,0,7.009
2019,5,5,7,22,0,90,6.869
2019,5,6,1,18,0.76,90,6.857
2019,5,7,2,17,6.78,90,7.238
2019,5,8,3,16,12.95,75,7.618
2019,5,9,4,16,18.75,90,8.025
2019,5,10,5,18,2.16,90,8.259
2019,5,11,6,23,0,90,8.484
2019,5,12,7,29,0,0,8.626
2019,5,13,1,29,0,0,8.585
2019,5,14,2,28,0,0,8.063
2019,5,15,3,23,0,90,7.641
2019,5,16,4,17,0,90,7.061
2019,5,17,5,16,0,75,7.42
2019,5,18,6,15,0.25,75,7.514
2019,5,19,7,17,0,20,8.128
2019,5,20,1,19,0,40,8.494
2019,5,21,2,21,0,90,8.641
2019,5,22,3,22,0,75,8.767
2019,5,23,4,20,0,75,9.051
2019,5,24,5,22,0,20,8.941
2019,5,25,6,24,0,0,8.499
2019,5,26,7,25,0,0,8.231
2019,5,27,1,22,0,20,8.031
2019,5,28,2,25,0,0,8.23
2019,5,29,3,27,0,0,8.224
2019,5,30,4,30,0,0,8.855
2019,5,31,5,30,0,0,9.363
2019,6,1,6,30,0,0,8.92
2019,6,2,7,24,0,90,8.773
2019,6,3,1,21,1.5,90,8.193
2019,6,4,2,18,13.72,75,7.814
2019,6,5,3,17,3.74,40,7.627
2019,6,6,4,15,21.24,90,7.675
2019,6,7,5,17,2.16,40,7.487
2019,6,8,6,19,0,20,7.588
2019,6,9,7,19,0,20,7.601
2019,6,10,1,19,0,40,7.622
2019,6,11,2,20,0,75,7.506
2019,6,12,3,19,0,20,7.354
2019,6,13,4,18,0,20,7.741
2019,6,14,5,18,0,40,7.903
2019,6,15,6,19,5.96,75,8.514
2019,6,16,7,21,0,0,8.585
2019,6,17,1,19,0,75,8.656
2019,6,18,2,19,10.27,90,8.299
2019,6,19,3,20,0.5,75,8.368
2019,6,20,4,19,0,75,8.422
2019,6,21,5,22,0,90,8.476
2019,6,22,6,23,2.61,75,8.473
2019,6,23,7,19,49.33,75,8.14
2019,6,24,1,21,2.55,75,8.242
2019,6,25,2,23,0.25,40,8.71
2019,6,26,3,21,1.36,90,8.945
2019,6,27,4,23,0,90,9.447
2019,6,28,5,25,0,40,9.876
2019,6,29,6,24,0,75,9.938
2019,6,30,7,22,0,75,9.502
2019,7,1,1,24,0,90,8.905
2019,7,2,2,25,0,90,8.542
2019,7,3,3,25,0,90,8.274
2019,7,4,4,23,0,75,8.171
2019,7,5,5,24,0,75,8.326
2019,7,6,6,24,0,90,8.106
2019,7,7,7,22,0,75,8.295
2019,7,8,1,22,0,75,8.418
2019,7,9,2,26,0,40,8.844
2019,7,10,3,31,0,0,9.082
2019,7,11,4,31,0,0,8.973
2019,7,12,5,28,0,40,8.891
2019,7,13,6,23,3.44,90,8.794
2019,7,14,7,25,0,90,9.293
2019,7,15,1,23,0,90,9.217
2019,7,16,2,25,0,90,9.044
2019,7,17,3,24,0,90,9.157
2019,7,18,4,26,0,0,8.886
2019,7,19,5,25,0,90,8.726
2019,7,20,6,25,0,90,8.674
2019,7,21,7,26,0,16,8.804
2019,7,22,1,29,0.5,90,9.148
2019,7,23,2,25,1.4,90,9.228
2019,7,24,3,26,0,90,9.281
2019,7,25,4,22,8.27,90,9.274
2019,7,26,5,17,0,90,9.063
2019,7,27,6,22,9.9,90,9.25
2019,7,28,7,23,0.5,90,8.85
2019,7,29,1,22,6.18,75,8.43
2019,7,30,2,22,0,72,7.7
2019,7,31,3,24,0,99,8.05
2019,8,1,4,23,0,75,8.21
2019,8,2,5,23,0,90,8.38
2019,8,3,6,24,0,90,8.29
2019,8,4,7,23,0,88,8.57
2019,8,5,1,24,0,75,8.35
2019,8,6,2,23,0,100,8.22
2019,8,7,3,23,9.47,100,8.11
2019,8,8,4,24,42.12,90,8.417
2019,8,9,5,22,5.94,90,7.786
2019,8,10,6,23,0.5,90,7.626
2019,8,11,7,21,0,40,7.747
2019,8,12,1,22,0,20,8.281
2019,8,13,2,24,0,0,8.56
2019,8,14,3,23,0,90,8.591
2019,8,15,4,26,0,90,8.726
2019,8,16,5,25,0,75,8.414
2019,8,17,6,26,0,90,8.116
2019,8,18,7,22,0.5,75,7.819
2019,8,19,1,23,0,0,7.638
2019,8,20,2,27,0,0,7.286
2019,8,21,3,30,0,0,7.551
2019,8,22,4,32,0,20,7.718
2019,8,23,5,29,0,75,7.444
2019,8,24,6,25,0,75,7.216
2019,8,25,7,23,10.16,75,7.098
2019,8,26,1,26,0.39,75,7.345
2019,8,27,2,24,0,90,7.343
2019,8,28,3,23,0,100,7.363
2019,8,29,4,24,0,90,7.167
2019,8,30,5,25,0,90,7.311
2019,8,31,6,23,0,90,7.424
2019,9,1,7,26,0,100,7.537
2019,9,2,1,30,0,0,7.516
2019,9,3,2,31,0,0,7.25
2019,9,4,3,29,0,0,6.828
2019,9,5,4,29,0,0,6.476
2019,9,6,5,27,0,0,6.326
2019,9,7,6,28,0,0,6.21
2019,9,8,7,28,0,0,6.296
2019,9,9,1,20,0,90,6.585
2019,9,10,2,20,0,90,6.71
2019,9,11,3,25,0,0,6.501
2019,9,12,4,29,0,0,6.043
2019,9,13,5,32,0,35,6.007
2019,9,14,6,28,0,35,6.08
2019,9,15,7,27,0,20,6.165
2019,9,16,1,23,3.9,90,5.959
2019,9,17,2,23,0,90,5.918
2019,9,18,3,22,0,90,5.789
2019,9,19,4,21,0,90,5.898
2019,9,20,5,22,0,90,5.811
2019,9,21,6,18,26.2,90,5.877
2019,9,22,7,20,0,75,5.518
2019,9,23,1,21,0,90,5.659
2019,9,24,2,21,21.31,90,5.714
2019,9,25,3,20,0.55,92,5.782
2019,9,26,4,21,0.25,75,5.642
2019,9,27,5,21,0.55,75,5.371
2019,9,28,6,22,0.75,90,5.236
2019,9,29,7,23,4.4,90,5.123
2019,9,30,1,24,0.95,90,5.202
2019,10,1,2,22,4.93,90,5.322
2019,10,2,3,21,0.5,75,5.198
2019,10,3,4,22,2.66,75,5.074
2019,10,4,5,21,2.64,90,5.083
2019,10,5,6,20,0,90,5.305
2019,10,6,7,23,0,20,5.287
2019,10,7,1,23,0.25,90,5.108
2019,10,8,2,23,0.9,90,4.873
2019,10,9,3,20,0,0,4.612
2019,10,10,4,24,0,0,4.418
2019,10,11,5,21,0,20,4.361
2019,10,12,6,22,0,90,3.956
2019,10,13,7,18,48.57,75,3.726
2019,10,14,1,15,20.77,75,3.513
2019,10,15,2,17,3.85,96,3.588
2019,10,16,3,17,100.96,96,3.459
2019,10,17,4,18,8.78,90,3.339
2019,10,18,5,17,7.37,90,3.196
2019,10,19,6,14,74.01,90,2.922
2019,10,20,7,16,0.25,20,2.762
2019,10,21,1,16,0.75,79,2.722
2019,10,22,2,18,0,59,2.837
2019,10,23,3,16,0,100,2.947
2019,10,24,4,17,3,90,3.04
2019,10,25,5,22,0,75,3.08
2019,10,26,6,21,0,93,3.093
2019,10,27,7,20,0,100,3.077
2019,10,28,1,19,11.36,90,3.05
2019,10,29,2,18,20.96,90,3.027
2019,10,30,3,18,51.77,100,2.947
2019,10,31,4,18,17.16,90,2.8
2019,11,1,5,18,20.69,100,2.653
2019,11,2,6,16,5.81,75,2.6
2019,11,3,7,17,14.76,90,2.463
2019,11,4,1,15,11.91,75,2.337
2019,11,5,2,15,9.42,75,2.213
2019,11,6,3,14,28.04,75,2.133
2019,11,7,4,13,9.6,75,1.997
2019,11,8,5,13,2.1,75,1.977
2019,11,9,6,14,96.15,90,1.997
2019,11,10,7,11,13.53,90,2.047
2019,11,11,1,15,10.83,90,1.98
2019,11,12,2,14,19.69,90,1.797
2019,11,13,3,16,7.61,90,1.553
2019,11,14,4,13,8.07,75,1.523
2019,11,15,5,10,0,40,1.543
2019,11,16,6,11,0.8,90,1.647
2019,11,17,7,12,12.55,90,1.63
2019,11,18,1,13,0,77,1.582
2019,11,19,2,6,12.04,100,1.532
2019,11,20,3,12,15.23,90,1.47
2019,11,21,4,15,16.48,75,1.48
2019,11,22,5,15,42.47,90,1.47
2019,11,23,6,14,4.18,75,1.65
2019,11,24,7,15,19.25,75,1.85
2019,11,25,1,16,7.54,75,2.09
2019,11,26,2,16,29.41,90,1.81
2019,11,27,3,15,8.28,75,1.81
2019,11,28,4,15,46.54,90,1.77
2019,11,29,5,16,14.56,90,1.78
2019,11,30,6,16,14.13,75,1.64
2019,12,1,7,15,4.47,75,1.47
2019,12,2,1,16,0,0,1.51
2019,12,3,2,13,0,0,1.59
2019,12,4,3,13,0,40,1.43
2019,12,5,4,15,0,64,1.31
2019,12,6,5,14,0,98,1.36
2019,12,7,6,13,0.8,100,1.346
2019,12,8,7,13,27.91,90,1.394
2019,12,9,1,12,1,100,1.362
2019,12,10,2,13,0.8,100,1.32
2019,12,11,3,12,21.74,90,1.289
2019,12,12,4,13,67.84,90,1.274
2019,12,13,5,13,8.66,75,1.277
2019,12,14,6,13,4.39,90,1.217
2019,12,15,7,13,66.32,90,1.17
2019,12,16,1,10,16.15,100,1.166
2019,12,17,2,12,0.95,100,1.146
2019,12,18,3,15,27.62,75,1.164
2019,12,19,4,15,57.23,90,1.214
2019,12,20,5,14,35.84,90,1.289
2019,12,21,6,15,19.5,75,1.366
2019,12,22,7,14,9.16,90,1.378
2019,12,23,1,13,2.39,90,1.349
2019,12,24,2,18,0.75,100,1.276
2019,12,25,3,19,1.17,100,1.225
2019,12,26,4,14,0,100,1.194
2019,12,27,5,15,0,100,1.241
2019,12,28,6,17,0,0,1.294
2019,12,29,7,19,0,0,1.345
2019,12,30,1,15,0,75,1.346
2019,12,31,2,12,0.25,90,1.313
2020,1,1,3,13,0,91,1.241
2020,1,2,4,11,0,90,1.229
2020,1,3,5,13,2.51,90,1.269
2020,1,4,6,13,0.5,90,1.325
2020,1,5,7,12,0,2,1.337
2020,1,6,1,11,0,100,1.334
2020,1,7,2,12,0,99,1.35
2020,1,8,3,13,0,90,1.384
2020,1,9,4,13,3.61,90,1.416
2020,1,10,5,12,0,56,1.459
2020,1,11,6,14,0,57,1.469
2020,1,12,7,13,0,100,1.434
2020,1,13,1,11,0,100,1.397
2020,1,14,2,14,2.46,90,1.406
2020,1,15,3,15,8.49,90,1.365
2020,1,16,4,15,9.03,90,1.356
2020,1,17,5,13,1.01,100,1.413
2020,1,18,6,13,18.65,90,1.395
2020,1,19,7,14,0.75,77,1.314
2020,1,20,1,11,0,8,1.279
2020,1,21,2,13,0,100,1.296
2020,1,22,3,14,0,100,1.365
2020,1,23,4,11,1.26,100,1.465
2020,1,24,5,14,0,81,1.579
2020,1,25,6,13,0,100,1.634
2020,1,26,7,13,0.5,75,1.689
2020,1,27,1,13,23.02,90,1.749
2020,1,28,2,14,34.58,90,1.854
2020,1,29,3,13,13.3,90,1.961
2020,1,30,4,14,33.3,90,1.95
2020,1,31,5,15,41.66,90,1.98
2020,2,1,6,15,12.75,90,2.16
2020,2,2,7,20,0.5,75,2.19
2020,2,3,1,22,0,75,2.29
2020,2,4,2,17,0,75,2.33
2020,2,5,3,18,0,88,2.35
2020,2,6,4,18,0,100,2.27
2020,2,7,5,17,0,90,2.24
2020,2,8,6,15,5.32,75,2.14
2020,2,9,7,14,10.68,90,2.59
2020,2,10,1,15,5.05,90,3.26
2020,2,11,2,14,1,93,2.64
2020,2,12,3,14,0,90,2.63
2020,2,13,4,15,1.26,75,2.663
2020,2,14,5,16,0,90,2.82
2020,2,15,6,16,0,90,2.787
2020,2,16,7,15,7.37,90,2.767
2020,2,17,1,14,4.07,90,2.797
2020,2,18,2,14,0,25,2.963
2020,2,19,3,16,0,46,3.083
2020,2,20,4,16,0,20,3.103
2020,2,21,5,19,0,97,3.17
2020,2,22,6,20,0,0,3.162
2020,2,23,7,21,0,20,3.156
2020,2,24,1,15,0,20,3.143
